candidate_id,semantic_score,behavior_score,logistics_score,signal_score
CAND_0000062,14.0,90.48,90.0,90.36
CAND_0000063,10.0,79.84,100.0,84.88
CAND_0000064,30.0,50.49,100.0,62.87
CAND_0000065,26.0,28.54,92.0,44.41
CAND_0000066,10.0,37.21,100.0,52.91
CAND_0000067,30.0,48.48,88.0,58.36
CAND_0000068,30.0,79.19,99.0,84.14
CAND_0000069,38.0,43.47,93.0,55.85
CAND_0000070,10.0,41.57,92.0,54.18
CAND_0000071,10.0,61.16,99.0,70.62
CAND_0000072,30.0,68.15,97.0,75.36
CAND_0000073,22.0,47.39,100.0,60.54
CAND_0000074,86.0,50.89,97.0,62.42
CAND_0000075,18.0,62.49,97.0,71.12
CAND_0000076,0.0,54.3,95.0,64.47
CAND_0000077,18.0,39.9,86.0,51.42
CAND_0000078,30.0,45.56,93.0,57.42
CAND_0000079,22.0,47.9,92.0,58.92
CAND_0000080,10.0,52.42,92.0,62.31
CAND_0000081,26.0,28.69,89.0,43.77
CAND_0000082,46.0,62.19,80.0,66.64
CAND_0000083,100.0,65.83,88.0,71.37
CAND_0000084,26.0,32.31,100.0,49.23
CAND_0000085,26.0,51.72,90.0,61.29
CAND_0000086,10.0,55.46,94.0,65.09
CAND_0000087,10.0,73.18,88.0,76.89
CAND_0000088,72.0,34.96,100.0,51.22
CAND_0000089,30.0,42.22,92.0,54.66
CAND_0000090,10.0,47.34,100.0,60.51
CAND_0000091,44.0,63.99,85.0,69.24
CAND_0000092,26.0,35.42,94.0,50.06
CAND_0000093,22.0,74.07,93.0,78.8
CAND_0000094,30.0,69.75,100.0,77.31
CAND_0000095,10.0,44.32,77.0,52.49
CAND_0000096,10.0,61.43,100.0,71.07
CAND_0000097,60.0,30.49,99.0,47.62
CAND_0000098,10.0,58.72,100.0,69.04
CAND_0000099,46.0,49.62,100.0,62.21
CAND_0000100,26.0,40.96,93.0,53.97
CAND_0000101,10.0,42.79,86.0,53.59
CAND_0000102,0.0,42.86,100.0,57.14
CAND_0000103,10.0,44.49,89.0,55.62
CAND_0000104,30.0,67.21,89.0,72.66
CAND_0000105,46.0,32.99,87.0,46.49
CAND_0000106,58.0,42.59,93.0,55.19
CAND_0000107,10.0,24.98,95.0,42.48
CAND_0000108,30.0,87.35,100.0,90.51
CAND_0000109,22.0,33.28,89.0,47.21
CAND_0000110,56.0,76.5,91.0,80.12
CAND_0000111,30.0,34.98,86.0,47.73
CAND_0000112,72.0,82.0,100.0,86.5
CAND_0000113,10.0,50.06,100.0,62.55
CAND_0000114,30.0,42.57,97.0,56.18
CAND_0000115,30.0,49.02,100.0,61.77
CAND_0000116,30.0,70.62,78.0,72.47
CAND_0000117,10.0,66.91,90.0,72.68
CAND_0000118,10.0,31.34,87.0,45.25
CAND_0000119,0.0,40.15,99.0,54.86
CAND_0000120,86.0,43.58,98.0,57.19
CAND_0000121,98.0,31.44,95.0,47.33
CAND_0000122,22.0,58.48,82.0,64.36
CAND_0000123,10.0,38.82,90.0,51.62
CAND_0000124,22.0,43.59,90.0,55.19
CAND_0000125,10.0,36.28,77.0,46.46
CAND_0000126,10.0,71.6,85.0,74.95
CAND_0000127,10.0,43.4,93.0,55.8
CAND_0000128,30.0,50.76,83.0,58.82
CAND_0000129,0.0,44.67,98.0,58.0
CAND_0000130,30.0,46.23,77.0,53.92
CAND_0000131,46.0,60.6,97.0,69.7
CAND_0000132,10.0,63.11,89.0,69.58
CAND_0000133,84.0,48.85,85.0,57.89
CAND_0000134,30.0,52.09,87.0,60.82
CAND_0000135,10.0,33.52,91.0,47.89
CAND_0000136,46.0,62.16,100.0,71.62
CAND_0000137,10.0,80.45,98.0,84.84
CAND_0000138,26.0,43.73,87.0,54.55
CAND_0000139,10.0,79.06,93.0,82.55
CAND_0000140,42.0,43.9,82.0,53.42
CAND_0000141,0.0,51.04,92.0,61.28
CAND_0000142,30.0,56.93,94.0,66.2
CAND_0000143,0.0,52.27,82.0,59.7
CAND_0000144,22.0,49.13,97.0,61.1
CAND_0000145,10.0,27.96,100.0,45.97
CAND_0000146,0.0,47.27,88.0,57.45
CAND_0000147,30.0,45.0,96.0,57.75
CAND_0000148,46.0,63.63,100.0,72.72
CAND_0000149,14.0,29.37,94.0,45.53
CAND_0000150,10.0,34.51,100.0,50.88
CAND_0000151,0.0,70.15,81.0,72.86
CAND_0000152,30.0,38.58,81.0,49.19
CAND_0000153,10.0,65.94,100.0,74.45
CAND_0000154,26.0,43.41,81.0,52.81
CAND_0000155,46.0,67.93,93.0,74.2
CAND_0000156,0.0,41.74,100.0,56.3
CAND_0000157,30.0,44.04,87.0,54.78
CAND_0000158,30.0,67.63,81.0,70.97
CAND_0000159,44.0,74.21,86.0,77.16
CAND_0000160,10.0,51.61,99.0,63.46
CAND_0000161,22.0,48.86,98.0,61.14
CAND_0000162,10.0,46.89,81.0,55.42
CAND_0000163,10.0,58.04,100.0,68.53
CAND_0000164,0.0,48.05,91.0,58.79
CAND_0000165,100.0,84.58,98.0,87.94
CAND_0000166,0.0,47.99,98.0,60.49
CAND_0000167,0.0,71.91,98.0,78.43
CAND_0000168,14.0,47.88,96.0,59.91
CAND_0000169,22.0,39.9,94.0,53.42
CAND_0000170,10.0,44.2,100.0,58.15
CAND_0000171,0.0,25.63,86.0,40.72
CAND_0000172,22.0,44.79,97.0,57.84
CAND_0000173,10.0,45.66,100.0,59.24
CAND_0000174,10.0,41.72,98.0,55.79
CAND_0000175,10.0,32.37,94.0,47.78
CAND_0000176,42.0,34.44,90.0,48.33
CAND_0000177,26.0,66.23,100.0,74.67
CAND_0000178,22.0,46.08,85.0,55.81
CAND_0000179,10.0,52.6,89.0,61.7
CAND_0000180,10.0,42.46,94.0,55.34
CAND_0000181,10.0,45.81,100.0,59.36
CAND_0000182,10.0,48.3,97.0,60.47
CAND_0000183,10.0,34.16,82.0,46.12
CAND_0000184,72.0,65.63,99.0,73.97
CAND_0000185,10.0,81.35,90.0,83.51
CAND_0000186,10.0,70.76,100.0,78.07
CAND_0000187,46.0,59.26,94.0,67.94
CAND_0000188,22.0,35.26,96.0,50.45
CAND_0000189,42.0,51.49,100.0,63.62
CAND_0000190,72.0,47.24,83.0,56.18
CAND_0000191,18.0,53.72,89.0,62.54
CAND_0000192,10.0,56.26,100.0,67.19
CAND_0000193,10.0,70.01,89.0,74.76
CAND_0000194,10.0,38.51,86.0,50.38
CAND_0000195,0.0,42.21,100.0,56.66
CAND_0000196,10.0,44.02,93.0,56.27
CAND_0000197,14.0,61.56,79.0,65.92
CAND_0000198,56.0,44.29,100.0,58.22
CAND_0000199,26.0,39.12,92.0,52.34
CAND_0000200,72.0,60.52,100.0,70.39
CAND_0000201,84.0,68.81,100.0,76.61
CAND_0000202,10.0,49.02,82.0,57.27
CAND_0000203,72.0,36.86,96.0,51.64
CAND_0000204,10.0,70.11,100.0,77.58
CAND_0000205,22.0,45.24,96.0,57.93
CAND_0000206,30.0,39.02,88.0,51.27
CAND_0000207,0.0,32.36,90.0,46.77
CAND_0000208,10.0,35.42,100.0,51.56
CAND_0000209,58.0,72.41,98.0,78.81
CAND_0000210,72.0,73.14,84.0,75.86
CAND_0000211,98.0,53.49,100.0,65.12
CAND_0000212,100.0,24.29,92.0,41.22
CAND_0000213,30.0,42.88,100.0,57.16
CAND_0000214,10.0,39.56,89.0,51.92
CAND_0000215,26.0,42.69,74.0,50.52
CAND_0000216,22.0,47.12,86.0,56.84
CAND_0000217,38.0,48.17,91.0,58.88
CAND_0000218,30.0,34.78,97.0,50.34
CAND_0000219,10.0,31.75,100.0,48.81
CAND_0000220,98.0,36.45,97.0,51.59
CAND_0000221,22.0,63.15,95.0,71.11
CAND_0000222,0.0,78.04,97.0,82.78
CAND_0000223,30.0,47.48,96.0,59.61
CAND_0000224,22.0,46.0,95.0,58.25
CAND_0000225,46.0,55.65,94.0,65.24
CAND_0000226,26.0,62.96,92.0,70.22
CAND_0000227,72.0,74.71,89.0,78.28
CAND_0000228,30.0,47.3,94.0,58.97
CAND_0000229,72.0,55.79,97.0,66.09
CAND_0000230,14.0,55.89,91.0,64.67
CAND_0000231,10.0,66.98,97.0,74.48
CAND_0000232,46.0,62.24,100.0,71.68
CAND_0000233,10.0,38.38,100.0,53.79
CAND_0000234,46.0,43.25,81.0,52.69
CAND_0000235,26.0,71.85,99.0,78.64
CAND_0000236,10.0,42.91,100.0,57.18
CAND_0000237,26.0,29.13,100.0,46.85
CAND_0000238,30.0,41.39,93.0,54.29
CAND_0000239,10.0,29.77,97.0,46.58
CAND_0000240,10.0,41.83,99.0,56.12
CAND_0000241,14.0,48.27,100.0,61.2
CAND_0000242,26.0,48.38,100.0,61.29
CAND_0000243,18.0,55.42,78.0,61.06
CAND_0000244,26.0,71.01,100.0,78.26
CAND_0000245,0.0,36.78,100.0,52.59
CAND_0000246,30.0,44.0,80.0,53.0
CAND_0000247,22.0,56.57,75.0,61.18
CAND_0000248,22.0,46.11,100.0,59.58
CAND_0000249,50.0,48.77,99.0,61.33
CAND_0000250,10.0,41.88,87.0,53.16
CAND_0000251,10.0,52.85,88.0,61.64
CAND_0000252,0.0,67.73,82.0,71.3
CAND_0000253,0.0,35.88,94.0,50.41
CAND_0000254,46.0,41.77,97.0,55.58
CAND_0000255,30.0,59.87,81.0,65.15
CAND_0000256,24.0,37.64,84.0,49.23
CAND_0000257,30.0,36.69,100.0,52.52
CAND_0000258,10.0,61.84,94.0,69.88
CAND_0000259,10.0,72.15,98.0,78.61
CAND_0000260,30.0,59.73,94.0,68.3
CAND_0000261,38.0,51.21,98.0,62.91
CAND_0000262,30.0,75.41,87.0,78.31
CAND_0000263,46.0,70.52,100.0,77.89
CAND_0000264,30.0,36.48,89.0,49.61
CAND_0000265,30.0,53.51,93.0,63.38
CAND_0000266,10.0,34.23,100.0,50.67
CAND_0000267,10.0,55.66,100.0,66.75
CAND_0000268,26.0,50.7,100.0,63.03
CAND_0000269,0.0,66.14,95.0,73.36
CAND_0000270,26.0,63.35,100.0,72.51
CAND_0000271,10.0,40.92,96.0,54.69
CAND_0000272,22.0,44.58,93.0,56.69
CAND_0000273,98.0,87.07,100.0,90.3
CAND_0000274,24.0,57.54,81.0,63.41
CAND_0000275,30.0,40.11,94.0,53.58
CAND_0000276,46.0,36.08,100.0,52.06
CAND_0000277,36.0,68.74,83.0,72.3
CAND_0000278,10.0,50.36,100.0,62.77
CAND_0000279,10.0,37.61,99.0,52.96
CAND_0000280,30.0,46.83,100.0,60.12
CAND_0000281,10.0,68.38,93.0,74.53
CAND_0000282,10.0,45.19,100.0,58.89
CAND_0000283,10.0,50.78,81.0,58.34
CAND_0000284,22.0,71.5,94.0,77.12
CAND_0000285,30.0,74.33,94.0,79.25
CAND_0000286,26.0,37.01,93.0,51.01
CAND_0000287,22.0,73.04,88.0,76.78
CAND_0000288,10.0,49.9,96.0,61.42
CAND_0000289,38.0,40.61,93.0,53.71
CAND_0000290,42.0,47.59,98.0,60.19
CAND_0000291,10.0,36.56,100.0,52.42
CAND_0000292,46.0,49.37,87.0,58.78
CAND_0000293,0.0,42.9,94.0,55.67
CAND_0000294,22.0,45.73,100.0,59.3
CAND_0000295,10.0,45.17,84.0,54.88
CAND_0000296,10.0,49.3,97.0,61.22
CAND_0000297,0.0,44.07,89.0,55.3
CAND_0000298,56.0,27.78,89.0,43.09
CAND_0000299,10.0,44.95,89.0,55.96
CAND_0000300,10.0,43.48,95.0,56.36
CAND_0000301,0.0,35.24,85.0,47.68
CAND_0000302,52.0,64.46,86.0,69.84
CAND_0000303,26.0,31.01,80.0,43.26
CAND_0000304,26.0,56.5,98.0,66.88
CAND_0000305,10.0,71.34,82.0,74.0
CAND_0000306,10.0,58.24,94.0,67.18
CAND_0000307,30.0,65.51,93.0,72.38
CAND_0000308,10.0,38.76,90.0,51.57
CAND_0000309,22.0,35.76,95.0,50.57
CAND_0000310,10.0,63.9,100.0,72.92
CAND_0000311,42.0,71.94,94.0,77.45
CAND_0000312,100.0,51.17,83.0,59.13
CAND_0000313,30.0,42.17,84.0,52.63
CAND_0000314,26.0,45.34,88.0,56.01
CAND_0000315,30.0,49.35,100.0,62.01
CAND_0000316,10.0,65.41,94.0,72.56
CAND_0000317,30.0,48.31,94.0,59.73
CAND_0000318,10.0,33.75,87.0,47.06
CAND_0000319,14.0,46.23,100.0,59.67
CAND_0000320,10.0,64.29,93.0,71.47
CAND_0000321,26.0,49.98,100.0,62.48
CAND_0000322,72.0,45.55,100.0,59.16
CAND_0000323,46.0,50.52,95.0,61.64
CAND_0000324,10.0,48.7,100.0,61.53
CAND_0000325,0.0,38.19,80.0,48.64
CAND_0000326,30.0,45.26,100.0,58.95
CAND_0000327,10.0,41.07,77.0,50.05
CAND_0000328,10.0,67.81,94.0,74.36
CAND_0000329,10.0,43.36,96.0,56.52
CAND_0000330,72.0,40.71,100.0,55.53
CAND_0000331,72.0,77.39,92.0,81.04
CAND_0000332,0.0,52.83,87.0,61.37
CAND_0000333,10.0,53.54,85.0,61.41
CAND_0000334,10.0,67.19,100.0,75.39
CAND_0000335,10.0,37.6,79.0,47.95
CAND_0000336,0.0,81.16,93.0,84.12
CAND_0000337,42.0,34.35,85.0,47.01
CAND_0000338,26.0,61.44,91.0,68.83
CAND_0000339,10.0,79.18,86.0,80.89
CAND_0000340,0.0,38.43,96.0,52.82
CAND_0000341,38.0,77.39,100.0,83.04
CAND_0000342,10.0,36.94,98.0,52.2
CAND_0000343,46.0,75.72,93.0,80.04
CAND_0000344,86.0,74.19,94.0,79.14
CAND_0000345,46.0,76.8,90.0,80.1
CAND_0000346,26.0,38.76,81.0,49.32
CAND_0000347,10.0,46.05,97.0,58.79
CAND_0000348,30.0,65.94,94.0,72.95
CAND_0000349,14.0,65.12,98.0,73.34
CAND_0000350,0.0,38.08,100.0,53.56
CAND_0000351,22.0,39.5,100.0,54.62
CAND_0000352,18.0,56.92,93.0,65.94
CAND_0000353,0.0,69.7,100.0,77.28
CAND_0000354,46.0,85.76,97.0,88.57
CAND_0000355,10.0,38.4,100.0,53.8
CAND_0000356,30.0,54.0,90.0,63.0
CAND_0000357,10.0,60.36,92.0,68.27
CAND_0000358,10.0,78.07,96.0,82.55
CAND_0000359,10.0,38.79,87.0,50.84
CAND_0000360,30.0,54.96,90.0,63.72
CAND_0000361,60.0,72.53,100.0,79.4
CAND_0000362,0.0,42.35,78.0,51.26
CAND_0000363,10.0,27.33,81.0,40.75
CAND_0000364,18.0,40.12,97.0,54.34
CAND_0000365,0.0,45.18,100.0,58.88
CAND_0000366,22.0,55.06,97.0,65.55
CAND_0000367,38.0,34.28,76.0,44.71
CAND_0000368,10.0,48.46,100.0,61.34
CAND_0000369,10.0,48.27,89.0,58.45
CAND_0000370,30.0,41.02,99.0,55.52
CAND_0000371,38.0,38.2,92.0,51.65
CAND_0000372,10.0,73.19,92.0,77.89
CAND_0000373,10.0,53.14,97.0,64.11
CAND_0000374,26.0,48.43,97.0,60.57
CAND_0000375,30.0,41.96,100.0,56.47
CAND_0000376,10.0,50.52,100.0,62.89
CAND_0000377,30.0,35.64,100.0,51.73
CAND_0000378,0.0,44.13,80.0,53.1
CAND_0000379,10.0,41.32,100.0,55.99
CAND_0000380,10.0,38.51,100.0,53.88
CAND_0000381,26.0,38.27,82.0,49.2
CAND_0000382,38.0,47.85,94.0,59.39
CAND_0000383,30.0,42.23,100.0,56.67
CAND_0000384,14.0,45.55,77.0,53.41
CAND_0000385,10.0,44.87,93.0,56.9
CAND_0000386,30.0,54.9,100.0,66.17
CAND_0000387,26.0,41.81,92.0,54.36
CAND_0000388,86.0,34.2,90.0,48.15
CAND_0000389,84.0,43.38,88.0,54.54
CAND_0000390,46.0,85.76,84.0,85.32
CAND_0000391,30.0,40.13,92.0,53.1
CAND_0000392,22.0,34.45,100.0,50.84
CAND_0000393,30.0,43.73,99.0,57.55
CAND_0000394,10.0,59.48,93.0,67.86
CAND_0000395,46.0,75.97,97.0,81.23
CAND_0000396,0.0,59.55,98.0,69.16
CAND_0000397,30.0,48.49,76.0,55.37
CAND_0000398,22.0,38.69,80.0,49.02
CAND_0000399,100.0,29.42,77.0,41.31
CAND_0000400,38.0,36.74,100.0,52.55
CAND_0000401,42.0,31.41,100.0,48.56
CAND_0000402,38.0,34.34,93.0,49.01
CAND_0000403,14.0,45.66,94.0,57.74
CAND_0000404,30.0,42.19,86.0,53.14
CAND_0000405,10.0,40.98,93.0,53.98
CAND_0000406,46.0,32.73,74.0,43.05
CAND_0000407,10.0,62.32,91.0,69.49
CAND_0000408,24.0,66.86,93.0,73.39
CAND_0000409,46.0,47.28,90.0,57.96
CAND_0000410,100.0,41.85,96.0,55.39
CAND_0000411,46.0,59.54,97.0,68.91
CAND_0000412,26.0,50.42,89.0,60.06
CAND_0000413,26.0,63.24,90.0,69.93
CAND_0000414,10.0,79.32,100.0,84.49
CAND_0000415,10.0,83.81,98.0,87.36
CAND_0000416,30.0,57.15,97.0,67.11
CAND_0000417,30.0,51.98,96.0,62.98
CAND_0000418,30.0,69.0,95.0,75.5
CAND_0000419,26.0,33.69,100.0,50.27
CAND_0000420,10.0,35.69,94.0,50.27
CAND_0000421,72.0,39.51,82.0,50.13
CAND_0000422,60.0,67.06,93.0,73.55
CAND_0000423,46.0,57.34,92.0,66.0
CAND_0000424,10.0,32.92,93.0,47.94
CAND_0000425,38.0,44.52,90.0,55.89
CAND_0000426,30.0,43.86,94.0,56.39
CAND_0000427,30.0,75.73,88.0,78.8
CAND_0000428,26.0,48.36,95.0,60.02
CAND_0000429,26.0,47.98,77.0,55.23
CAND_0000430,26.0,56.42,84.0,63.31
CAND_0000431,22.0,37.85,94.0,51.89
CAND_0000432,22.0,26.71,100.0,45.03
CAND_0000433,26.0,56.81,93.0,65.86
CAND_0000434,22.0,36.94,90.0,50.2
CAND_0000435,14.0,46.25,78.0,54.19
CAND_0000436,14.0,64.01,95.0,71.76
CAND_0000437,14.0,50.05,97.0,61.79
CAND_0000438,30.0,66.46,100.0,74.84
CAND_0000439,22.0,46.86,77.0,54.39
CAND_0000440,72.0,51.73,93.0,62.05
CAND_0000441,38.0,41.82,100.0,56.37
CAND_0000442,0.0,60.13,83.0,65.85
CAND_0000443,30.0,57.65,90.0,65.74
CAND_0000444,26.0,34.6,100.0,50.95
CAND_0000445,10.0,79.94,95.0,83.7
CAND_0000446,10.0,43.52,91.0,55.39
CAND_0000447,10.0,30.45,95.0,46.59
CAND_0000448,26.0,42.49,83.0,52.62
CAND_0000449,10.0,41.67,100.0,56.25
CAND_0000450,22.0,39.34,87.0,51.26
CAND_0000451,10.0,69.26,87.0,73.7
CAND_0000452,46.0,78.92,85.0,80.44
CAND_0000453,0.0,70.63,81.0,73.22
CAND_0000454,46.0,54.23,84.0,61.67
CAND_0000455,38.0,80.5,100.0,85.38
CAND_0000456,10.0,51.73,100.0,63.8
CAND_0000457,44.0,59.34,92.0,67.5
CAND_0000458,30.0,42.95,90.0,54.71
CAND_0000459,38.0,41.67,96.0,55.25
CAND_0000460,22.0,45.11,100.0,58.83
CAND_0000461,30.0,48.74,100.0,61.55
CAND_0000462,10.0,38.19,100.0,53.64
CAND_0000463,0.0,41.0,94.0,54.25
CAND_0000464,46.0,58.73,100.0,69.05
CAND_0000465,14.0,52.36,100.0,64.27
CAND_0000466,56.0,67.19,83.0,71.14
CAND_0000467,30.0,50.5,91.0,60.62
CAND_0000468,30.0,62.14,94.0,70.11
CAND_0000469,10.0,44.86,84.0,54.64
CAND_0000470,22.0,53.56,92.0,63.17
CAND_0000471,10.0,33.34,100.0,50.01
CAND_0000472,10.0,57.9,98.0,67.92
CAND_0000473,26.0,49.31,93.0,60.23
CAND_0000474,10.0,68.28,94.0,74.71
CAND_0000475,0.0,51.75,90.0,61.31
CAND_0000476,0.0,70.77,100.0,78.08
CAND_0000477,26.0,48.55,87.0,58.16
CAND_0000478,10.0,46.92,98.0,59.69
CAND_0000479,26.0,31.0,96.0,47.25
CAND_0000480,10.0,47.59,93.0,58.94
CAND_0000481,0.0,39.23,90.0,51.92
CAND_0000482,46.0,53.99,100.0,65.49
CAND_0000483,10.0,31.28,96.0,47.46
CAND_0000484,38.0,43.95,75.0,51.71
CAND_0000485,30.0,29.86,87.0,44.14
CAND_0000486,26.0,61.48,100.0,71.11
CAND_0000487,26.0,39.57,97.0,53.93
CAND_0000488,22.0,71.63,77.0,72.97
CAND_0000489,36.0,59.36,89.0,66.77
CAND_0000490,30.0,56.74,100.0,67.56
CAND_0000491,10.0,40.86,100.0,55.64
CAND_0000492,26.0,44.53,100.0,58.4
CAND_0000493,26.0,60.16,92.0,68.12
CAND_0000494,56.0,64.16,89.0,70.37
CAND_0000495,30.0,63.49,100.0,72.62
CAND_0000496,26.0,50.7,100.0,63.03
CAND_0000497,10.0,49.29,84.0,57.97
CAND_0000498,46.0,58.12,100.0,68.59
CAND_0000499,38.0,73.8,99.0,80.1
CAND_0000500,10.0,42.12,84.0,52.59
CAND_0000501,18.0,43.34,100.0,57.51
CAND_0000502,10.0,80.47,100.0,85.35
CAND_0000503,22.0,66.43,84.0,70.82
CAND_0000504,10.0,38.51,93.0,52.13
CAND_0000505,98.0,23.44,100.0,42.58
CAND_0000506,10.0,54.62,94.0,64.47
CAND_0000507,18.0,69.63,85.0,73.47
CAND_0000508,46.0,58.98,91.0,66.98
CAND_0000509,26.0,52.04,92.0,62.03
CAND_0000510,10.0,38.7,100.0,54.03
CAND_0000511,10.0,51.06,100.0,63.3
CAND_0000512,38.0,33.67,100.0,50.25
CAND_0000513,10.0,43.73,97.0,57.05
CAND_0000514,26.0,29.1,89.0,44.08
CAND_0000515,26.0,48.63,82.0,56.97
CAND_0000516,26.0,30.53,92.0,45.9
CAND_0000517,46.0,51.91,100.0,63.93
CAND_0000518,26.0,44.43,99.0,58.07
CAND_0000519,0.0,44.58,98.0,57.94
CAND_0000520,46.0,53.41,92.0,63.06
CAND_0000521,0.0,65.38,98.0,73.53
CAND_0000522,56.0,46.08,93.0,57.81
CAND_0000523,26.0,67.14,79.0,70.11
CAND_0000524,10.0,35.02,95.0,50.02
CAND_0000525,10.0,53.89,88.0,62.42
CAND_0000526,10.0,47.13,93.0,58.6
CAND_0000527,22.0,40.79,91.0,53.34
CAND_0000528,0.0,51.23,98.0,62.92
CAND_0000529,46.0,65.16,100.0,73.87
CAND_0000530,30.0,51.4,79.0,58.3
CAND_0000531,0.0,44.52,91.0,56.14
CAND_0000532,26.0,81.2,100.0,85.9
CAND_0000533,26.0,54.34,90.0,63.26
CAND_0000534,56.0,72.36,100.0,79.27
CAND_0000535,26.0,49.88,80.0,57.41
CAND_0000536,56.0,45.73,97.0,58.55
CAND_0000537,38.0,44.22,90.0,55.66
CAND_0000538,42.0,38.47,82.0,49.35
CAND_0000539,72.0,76.5,97.0,81.62
CAND_0000540,44.0,38.04,77.0,47.78
CAND_0000541,72.0,43.76,93.0,56.07
CAND_0000542,22.0,39.22,93.0,52.66
CAND_0000543,14.0,46.79,100.0,60.09
CAND_0000544,46.0,34.43,90.0,48.32
CAND_0000545,30.0,78.8,91.0,81.85
CAND_0000546,10.0,39.3,85.0,50.72
CAND_0000547,26.0,55.2,100.0,66.4
CAND_0000548,10.0,40.04,91.0,52.78
CAND_0000549,10.0,41.31,100.0,55.98
CAND_0000550,10.0,57.78,79.0,63.09
CAND_0000551,10.0,40.32,100.0,55.24
CAND_0000552,72.0,33.79,98.0,49.84
CAND_0000553,30.0,40.26,100.0,55.2
CAND_0000554,10.0,72.97,97.0,78.98
CAND_0000555,26.0,34.05,87.0,47.29
CAND_0000556,22.0,45.92,92.0,57.44
CAND_0000557,10.0,75.52,96.0,80.64
CAND_0000558,10.0,44.61,98.0,57.96
CAND_0000559,10.0,62.2,94.0,70.15
CAND_0000560,10.0,50.14,85.0,58.86
CAND_0000561,26.0,78.08,85.0,79.81
CAND_0000562,10.0,35.55,89.0,48.91
CAND_0000563,22.0,48.61,81.0,56.71
CAND_0000564,10.0,32.81,81.0,44.86
CAND_0000565,0.0,78.89,95.0,82.92
CAND_0000566,22.0,32.86,93.0,47.89
CAND_0000567,0.0,42.92,97.0,56.44
CAND_0000568,14.0,50.38,98.0,62.29
CAND_0000569,10.0,27.1,94.0,43.83
CAND_0000570,18.0,45.14,87.0,55.61
CAND_0000571,14.0,40.45,93.0,53.59
CAND_0000572,0.0,36.38,96.0,51.29
CAND_0000573,10.0,49.4,99.0,61.8
CAND_0000574,26.0,36.87,94.0,51.15
CAND_0000575,30.0,44.92,95.0,57.44
CAND_0000576,98.0,25.51,93.0,42.38
CAND_0000577,30.0,51.53,94.0,62.15
CAND_0000578,46.0,45.01,83.0,54.51
CAND_0000579,26.0,65.11,92.0,71.83
CAND_0000580,14.0,67.09,98.0,74.82
